ID,Category,Name,AssessmentStatus,Method,MethodOption,GetCommand,PostProcessCommand,User,RegistryPath,RegistryItem,ExpectedExit,RecommendedValue,TypeValue,Operator,Severity,Level
6010:a,Network,Firewall : Personal Web Sharing process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Personal Web Sharing':'proc',,httpd,string,=,High,ND
6010:A,Network,Firewall : Disable Personal Web Sharing,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Personal Web Sharing':'state',,0,int,=,High,ND
6010:b,Network,Firewall : Printer Sharing process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Printer Sharing':'proc',,cupsd,string,=,High,ND
6010:B,Network,Firewall : Disable Printer Sharing,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Printer Sharing':'state',,0,int,=,High,ND
6010:c,Network,Firewall : Remote Apple Events process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Remote Apple Events':'proc',,AEServer,string,=,High,ND
6010:C,Network,Firewall : Disable Remote Apple Events,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Remote Apple Events':'state',,0,int,=,High,ND
6010:d,Network,Firewall : FTP Access process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'FTP Access':'proc',,ftpd,string,=,High,ND
6010:D,Network,Firewall : Disable FTP Access,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'FTP Access':'state',,0,int,=,High,ND
6010:e,Network,Firewall : Personal File Sharing process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Personal File Sharing':'proc',,AppleFileServer,string,=,High,ND
6010:E,Network,Firewall : Disable Personal File Sharing,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Personal File Sharing':'state',,0,int,=,High,ND
6010:f,Network,Firewall : Remote Login - SSH process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Remote Login - SSH':'proc',,sshd-keygen-wrapper,string,=,High,ND
6010:F,Network,Firewall : Enable Remote Login - SSH,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Remote Login - SSH':'state',,1,int,=,Low,ND
6010:g,Network,Firewall : Samba Sharing process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Samba Sharing':'proc',,smbd,string,=,High,ND
6010:G,Network,Firewall : Disable Samba Sharing,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Samba Sharing':'state',,0,int,=,High,ND
6010:h,Network,Firewall : Apple Remote Desktop process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Apple Remote Desktop':'proc',,AppleVNCServer,string,=,High,ND
6010:H,Network,Firewall : Enable Apple Remote Desktop,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Apple Remote Desktop':'state',,1,int,=,Low,ND
6010:i,Network,Firewall : ODSAgent process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'ODSAgent':'proc',,ODSAgent,string,=,High,ND
6010:I,Network,Firewall : Disable ODSAgent,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'ODSAgent':'state',,0,int,=,High,ND
6011,Network,Firewall : No extra firewall application entries,,PlistBuddy,-c,,grep "Does Not Exist" | wc -l | sed "s/ *//g",,/Library/Preferences/com.apple.alf.plist,:applications:2,1,1,int,=,High,ND
6011:0,Network,Firewall : Firewall allows Control Center,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,:applications:0:bundleid,,com.apple.controlcenter,string,=,Low,ND
6011:1,Network,Firewall : Firewall allows Dropbox,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,:applications:1:bundleid,,com.getdropbox.dropbox,string,=,Low,ND
6012,Network,Firewall : Explicit Auths contains only expected values,,PlistBuddy,-c,,grep "id =" | sort | awk '{printf("%s;"<COMMA> $3)}',,/Library/Preferences/com.apple.alf.plist,:explicitauths,,com.apple.a2p;com.apple.javajdk16.cmd;com.apple.ksh;com.apple.nc;com.apple.php;com.apple.ruby;org.python.python.app;,string,=,High,ND
6100,Network,Remote Management : Disable Remote Management,,kickstart,,,,,,,,disable,bool,=,Medium,ND
8000,Siri,Disable Siri,Automatically,Registry,,,,username,com.apple.assistant.support.plist,'Assistant Enabled',,false,bool,=,Low,
